Station,Day(Local_Date),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa)
5451,2014 Mar 28,0.0,13.6,22.3,4.9,1.9,10.1
11104,2014 Mar 29,0.8,14.7,19.2,10.2,9.0,12.9
18183,2014 Mar 29,0.0,17.1,23.9,11.5,10.2,15.6
1962,2014 Mar 29,0.0,17.8,21.8,13.8,8.8,15.2
2283,2014 Mar 29,0.0,16.5,18.3,14.6,13.5,14.1
24120,2014 Mar 29,0.0,15.4,21.6,11.8,-,14.6
24976,2014 Mar 29,0.1,18.0,29.4,10.2,8.0,14.0
3445,2014 Mar 29,0.0,16.6,18.2,14.9,-,14.3
4271,2014 Mar 29,0.0,16.4,18.5,14.2,11.1,15.0
5451,2014 Mar 29,0.0,15.4,21.0,9.8,7.8,9.9
11104,2014 Mar 30,0.0,16.2,21.6,10.8,6.6,13.1
18183,2014 Mar 30,0.0,17.3,24.2,11.5,10.4,15.8
1962,2014 Mar 30,0.0,17.2,23.0,11.4,7.5,15.1
2283,2014 Mar 30,0.0,16.2,20.3,12.0,10.1,14.6
24120,2014 Mar 30,0.0,15.3,23.1,12.3,-,14.7
24976,2014 Mar 30,0.0,18.3,26.4,13.3,11.5,15.5
3445,2014 Mar 30,0.0,17.7,19.5,15.8,-,15.1
4271,2014 Mar 30,0.0,15.6,19.6,11.5,6.2,15.0
5451,2014 Mar 30,0.0,15.0,20.1,9.8,6.5,10.9
11104,2014 Mar 31,0.4,16.0,21.3,10.7,8.2,14.3
18183,2014 Mar 31,0.0,18.6,24.0,13.5,12.8,16.5
1962,2014 Mar 31,0.0,18.5,24.5,12.5,8.4,15.9
2283,2014 Mar 31,0.0,15.7,20.7,10.7,7.8,14.5
24120,2014 Mar 31,0.0,14.6,19.1,12.2,-,13.6
24976,2014 Mar 31,0.0,16.9,23.8,11.5,9.5,15.5
3445,2014 Mar 31,0.0,18.2,21.4,14.9,-,16.0
4271,2014 Mar 31,0.2,15.0,20.1,9.9,4.9,15.1
5451,2014 Mar 31,0.0,16.5,22.5,10.5,8.7,12.3
11104,2014 Apr 01,0.2,17.4,22.4,12.4,11.4,15.6
18183,2014 Apr 01,0.0,17.0,23.4,12.3,11.3,15.4
1962,2014 Apr 01,0.0,17.6,23.7,11.4,6.1,16.3
2283,2014 Apr 01,0.0,14.8,21.1,8.5,3.7,13.9
24120,2014 Apr 01,0.0,14.9,18.0,12.4,-,14.2
24976,2014 Apr 01,0.2,16.5,23.8,10.6,8.2,14.9
3445,2014 Apr 01,0.0,16.2,20.0,12.4,-,14.9
4271,2014 Apr 01,0.0,17.0,19.7,14.2,9.9,15.9
5451,2014 Apr 01,0.0,15.9,19.4,12.3,11.3,13.3
11104,2014 Apr 02,0.2,19.0,25.4,12.6,9.4,15.1
18183,2014 Apr 02,0.0,17.3,23.0,11.9,11.2,16.1
1962,2014 Apr 02,0.0,18.8,24.0,13.6,10.4,17.3
2283,2014 Apr 02,0.0,14.6,20.8,8.4,6.2,14.1
24120,2014 Apr 02,0.0,16.1,21.5,12.6,-,14.8
24976,2014 Apr 02,0.0,16.4,23.7,11.5,9.2,14.7
3445,2014 Apr 02,0.0,17.5,20.5,14.5,-,15.1
4271,2014 Apr 02,0.0,16.6,19.7,13.5,7.7,15.9
5451,2014 Apr 02,0.0,15.7,23.0,8.4,5.9,10.9
11104,2014 Apr 03,0.0,16.5,21.3,11.7,9.8,15.3
18183,2014 Apr 03,1.2,18.2,25.1,13.2,12.2,16.5
1962,2014 Apr 03,21.2,17.5,21.6,13.4,9.1,17.2
2283,2014 Apr 03,0.0,16.5,21.9,11.0,7.4,15.2
24120,2014 Apr 03,0.0,15.3,21.7,12.1,-,14.5
24976,2014 Apr 03,0.1,16.1,23.0,11.1,9.4,14.3
3445,2014 Apr 03,0.0,16.7,21.2,12.1,-,14.8
4271,2014 Apr 03,0.0,15.6,20.1,11.0,5.1,15.2
5451,2014 Apr 03,0.2,15.9,22.5,9.3,7.1,12.4
11104,2014 Apr 04,13.0,12.4,15.9,8.9,7.1,13.5
18183,2014 Apr 04,0.2,17.1,23.5,12.2,11.0,15.2
1962,2014 Apr 04,0.0,17.9,22.0,13.7,9.8,16.7
2283,2014 Apr 04,0.2,16.1,20.5,11.6,9.0,15.5
24120,2014 Apr 04,0.0,15.6,19.1,13.8,-,14.7
24976,2014 Apr 04,4.7,15.7,20.8,12.6,11.3,15.2
3445,2014 Apr 04,0.0,17.1,21.4,12.8,-,14.1
4271,2014 Apr 04,0.2,15.3,19.6,11.0,5.5,15.0
5451,2014 Apr 04,10.0,15.4,21.7,9.1,6.3,12.9
11104,2014 Apr 05,5.0,11.2,12.5,9.8,9.7,12.2
18183,2014 Apr 05,0.0,16.9,22.9,11.2,8.5,14.9
1962,2014 Apr 05,0.0,17.8,21.8,13.8,12.0,17.0
2283,2014 Apr 05,0.0,16.1,23.2,8.9,6.8,14.2
24120,2014 Apr 05,2.7,14.4,16.7,12.6,-,14.5
24976,2014 Apr 05,1.1,16.8,21.4,13.5,12.3,16.2
3445,2014 Apr 05,0.0,15.5,18.4,12.5,-,15.4
4271,2014 Apr 05,0.2,15.3,19.4,11.2,6.4,14.8
5451,2014 Apr 05,5.6,13.9,17.1,10.6,10.4,12.3
11104,2014 Apr 06,0.2,12.0,14.3,9.7,8.4,12.7
18183,2014 Apr 06,0.0,17.2,23.2,12.1,10.0,15.0
1962,2014 Apr 06,0.0,19.5,22.5,16.4,14.1,18.0
2283,2014 Apr 06,0.0,18.7,23.8,13.5,9.7,15.3
24120,2014 Apr 06,0.0,14.5,17.9,12.3,-,14.3
24976,2014 Apr 06,20.8,18.6,22.4,16.2,16.3,19.5
3445,2014 Apr 06,0.0,15.6,18.3,12.8,-,16.5
4271,2014 Apr 06,0.0,16.2,20.9,11.4,7.4,14.7
5451,2014 Apr 06,0.0,12.8,15.2,10.3,10.0,11.8
11104,2014 Apr 07,1.2,11.1,14.3,7.9,3.3,11.3
18183,2014 Apr 07,0.0,17.6,22.0,13.5,10.9,15.7
1962,2014 Apr 07,0.0,19.0,23.0,14.9,12.3,18.7
2283,2014 Apr 07,0.0,19.4,24.1,14.6,13.1,17.1
24120,2014 Apr 07,6.9,13.9,18.3,11.6,-,14.5
24976,2014 Apr 07,21.6,19.4,21.6,18.0,18.1,20.9
3445,2014 Apr 07,2.1,14.9,15.5,14.3,-,16.7
4271,2014 Apr 07,0.0,17.7,23.2,12.2,7.6,15.7
5451,2014 Apr 07,0.0,13.4,16.3,10.5,8.6,11.2
11104,2014 Apr 08,0.6,11.3,15.7,6.9,2.5,10.7
18183,2014 Apr 08,0.0,18.5,22.2,15.6,14.1,17.9
1962,2014 Apr 08,0.0,19.7,22.6,16.8,14.3,19.6
2283,2014 Apr 08,2.4,17.4,19.7,15.0,14.2,15.4
24120,2014 Apr 08,20.7,11.6,13.1,10.1,-,13.0
24976,2014 Apr 08,22.2,19.0,19.8,18.2,18.3,20.6
3445,2014 Apr 08,27.4,14.0,14.6,13.3,-,15.6
4271,2014 Apr 08,9.4,16.0,18.3,13.6,12.9,14.1
5451,2014 Apr 08,0.0,11.3,17.4,5.2,1.9,8.7
11104,2014 Apr 09,0.0,8.9,15.4,2.3,0.8,10.4
18183,2014 Apr 09,0.0,18.1,22.2,15.1,12.7,17.5
1962,2014 Apr 09,0.0,20.6,23.1,18.1,15.5,19.5
2283,2014 Apr 09,2.8,17.2,19.2,15.2,14.2,17.4
24120,2014 Apr 09,0.0,12.6,15.8,10.8,-,13.2
24976,2014 Apr 09,7.5,19.2,22.2,17.3,16.2,20.0
3445,2014 Apr 09,1.6,14.2,15.0,13.4,-,15.4
4271,2014 Apr 09,9.4,15.9,18.3,13.5,12.8,16.5
5451,2014 Apr 09,0.0,9.6,16.3,2.8,-0.5,9.4
11104,2014 Apr 10,0.0,9.1,15.8,2.3,0.1,10.3
18183,2014 Apr 10,0.0,17.7,24.0,12.1,11.1,15.9
1962,2014 Apr 10,0.0,20.0,24.2,15.7,12.9,18.8
2283,2014 Apr 10,29.8,19.1,22.6,15.5,14.6,17.7
24120,2014 Apr 10,6.8,12.9,16.2,10.9,-,13.5
24976,2014 Apr 10,5.8,18.0,21.2,15.9,14.8,18.8
3445,2014 Apr 10,7.0,13.9,14.5,13.3,-,15.6
4271,2014 Apr 10,1.4,19.1,22.9,15.3,12.9,16.3
5451,2014 Apr 10,0.0,9.0,14.5,3.4,0.5,9.9
11104,2014 Apr 11,0.6,12.7,19.8,5.5,2.8,12.0
18183,2014 Apr 11,0.0,17.4,22.9,13.6,12.2,16.9
1962,2014 Apr 11,1.8,19.7,23.0,16.4,13.7,18.7
2283,2014 Apr 11,10.0,17.5,21.0,14.0,12.7,17.1
24120,2014 Apr 11,0.8,14.2,18.5,11.8,-,14.9
24976,2014 Apr 11,14.1,17.3,19.4,14.3,12.6,18.0
3445,2014 Apr 11,6.6,15.3,16.2,14.3,-,17.0
4271,2014 Apr 11,13.0,17.8,19.7,15.8,15.3,17.8
5451,2014 Apr 11,1.2,11.3,16.9,5.6,2.8,11.6
11104,2014 Apr 12,3.8,9.3,13.1,5.4,4.2,8.3
18183,2014 Apr 12,0.0,17.3,22.7,13.3,10.6,15.4
1962,2014 Apr 12,0.2,18.1,22.3,13.8,9.7,15.7
2283,2014 Apr 12,2.6,17.8,20.7,14.8,13.5,17.3
24120,2014 Apr 12,5.4,12.3,15.4,8.0,-,12.7
24976,2014 Apr 12,3.1,18.8,24.3,14.3,12.4,15.9
3445,2014 Apr 12,0.8,14.7,16.3,13.0,-,15.0
4271,2014 Apr 12,11.8,17.5,21.0,13.9,12.4,17.3
5451,2014 Apr 12,4.4,9.8,13.3,6.3,5.3,9.2
11104,2014 Apr 13,0.0,7.6,13.2,2.0,0.1,7.1
18183,2014 Apr 13,0.0,17.8,23.3,11.1,10.4,16.7
1962,2014 Apr 13,0.0,17.3,23.2,11.4,7.4,15.6
2283,2014 Apr 13,0.0,16.7,20.0,13.3,12.2,13.8
24120,2014 Apr 13,0.9,9.2,12.7,7.1,-,9.5
24976,2014 Apr 13,0.6,15.3,18.2,12.9,13.2,14.7
3445,2014 Apr 13,1.2,12.1,13.5,10.6,-,10.8
4271,2014 Apr 13,4.8,12.8,15.3,10.2,10.2,11.3
5451,2014 Apr 13,0.0,9.3,12.7,5.8,5.0,7.7
11104,2014 Apr 14,0.0,9.2,15.9,2.4,-0.6,9.3
18183,2014 Apr 14,0.0,18.7,21.2,16.3,14.8,18.5
1962,2014 Apr 14,2.2,19.1,22.2,16.0,15.5,17.9
2283,2014 Apr 14,0.6,16.0,19.1,12.8,12.2,15.7
24120,2014 Apr 14,0.5,10.9,15.5,4.3,-,10.9
24976,2014 Apr 14,2.8,14.2,16.6,12.6,13.0,14.5
3445,2014 Apr 14,0.3,12.8,14.6,11.0,-,12.3
4271,2014 Apr 14,2.0,12.5,14.7,10.3,9.9,12.3
5451,2014 Apr 14,0.8,9.4,14.2,4.5,1.8,9.6
11104,2014 Apr 15,11.2,11.7,15.5,7.8,6.1,12.6
18183,2014 Apr 15,9.4,19.7,22.5,17.9,17.4,20.3
1962,2014 Apr 15,0.0,20.2,22.2,18.1,17.0,16.6
2283,2014 Apr 15,4.4,18.4,20.7,16.0,15.2,16.8
24120,2014 Apr 15,0.4,14.9,17.8,12.9,-,14.8
24976,2014 Apr 15,1.3,15.3,19.1,12.3,10.5,14.6
3445,2014 Apr 15,0.1,17.3,21.7,12.9,-,15.4
4271,2014 Apr 15,25.0,15.1,17.3,12.8,13.3,16.5
5451,2014 Apr 15,1.8,11.8,14.7,8.8,6.9,12.8
11104,2014 Apr 16,5.2,8.8,11.8,5.7,3.4,9.6
18183,2014 Apr 16,50.8,18.9,20.6,17.7,17.5,20.8
1962,2014 Apr 16,1.8,19.6,22.0,17.2,16.0,18.1
2283,2014 Apr 16,21.6,16.9,18.4,15.4,15.0,17.7
24120,2014 Apr 16,0.2,12.6,15.7,9.7,-,13.3
24976,2014 Apr 16,1.4,16.3,21.3,11.7,9.4,14.0
3445,2014 Apr 16,30.5,15.3,17.8,12.7,-,16.1
4271,2014 Apr 16,24.4,17.2,19.1,15.3,13.1,17.9
5451,2014 Apr 16,0.6,10.3,12.5,8.0,6.7,10.3
11104,2014 Apr 17,0.0,7.7,11.7,3.6,0.4,7.8
18183,2014 Apr 17,11.0,20.1,22.4,18.5,17.2,19.6
1962,2014 Apr 17,43.4,20.5,24.0,17.0,16.4,20.5
2283,2014 Apr 17,36.2,17.1,19.4,14.8,14.0,16.7
24120,2014 Apr 17,41.9,9.9,13.9,7.9,-,10.5
24976,2014 Apr 17,14.1,16.3,18.7,13.8,13.5,16.1
3445,2014 Apr 17,10.2,15.1,17.9,12.3,-,14.7
4271,2014 Apr 17,30.0,15.0,18.2,11.8,10.1,11.9
5451,2014 Apr 17,0.0,7.7,9.3,6.0,4.9,6.6
11104,2014 Apr 18,0.0,13.2,17.0,9.3,8.2,12.1
18183,2014 Apr 18,4.4,19.4,22.9,17.3,16.3,19.6
1962,2014 Apr 18,0.0,20.8,24.1,17.5,15.6,19.8
2283,2014 Apr 18,0.0,19.5,22.5,16.5,15.1,18.4
24120,2014 Apr 18,27.4,14.3,16.0,12.2,-,15.4
24976,2014 Apr 18,44.3,17.6,20.8,14.4,13.5,18.1
3445,2014 Apr 18,0.6,19.4,23.2,15.5,-,16.6
4271,2014 Apr 18,10.0,19.1,21.6,16.5,13.8,16.3
5451,2014 Apr 18,0.0,12.6,17.0,8.2,7.6,10.8
11104,2014 Apr 19,0.0,16.3,21.5,11.0,5.4,13.4
18183,2014 Apr 19,1.6,17.8,22.0,15.3,13.6,18.1
1962,2014 Apr 19,2.8,19.0,22.9,15.0,13.0,18.2
2283,2014 Apr 19,3.8,17.9,20.4,15.4,14.3,18.0
24120,2014 Apr 19,2.6,15.0,18.5,12.2,-,15.0
24976,2014 Apr 19,4.9,16.6,21.2,13.3,12.4,16.1
3445,2014 Apr 19,3.6,17.2,19.3,15.0,-,16.5
4271,2014 Apr 19,5.6,17.3,19.0,15.6,13.9,17.5
5451,2014 Apr 19,0.0,14.1,18.8,9.4,7.5,11.1
11104,2014 Apr 20,3.2,13.0,17.1,8.8,4.3,12.3
18183,2014 Apr 20,6.0,16.5,21.1,14.5,12.9,17.1
1962,2014 Apr 20,11.4,17.2,19.9,14.5,12.7,16.8
2283,2014 Apr 20,4.6,17.2,20.0,14.3,12.7,15.6
24120,2014 Apr 20,0.2,14.7,21.9,9.9,-,11.2
24976,2014 Apr 20,0.1,17.4,22.4,13.5,10.3,13.9
3445,2014 Apr 20,0.2,17.3,19.1,15.5,-,14.3
4271,2014 Apr 20,5.0,13.9,16.9,10.9,8.3,14.5
5451,2014 Apr 20,0.0,11.4,17.5,5.2,1.2,9.3
11104,2014 Apr 21,2.6,11.6,15.0,8.1,5.0,10.5
18183,2014 Apr 21,0.0,16.6,20.0,14.0,12.2,14.9
1962,2014 Apr 21,2.4,17.3,20.0,14.5,12.2,15.2
2283,2014 Apr 21,6.4,15.6,18.1,13.0,10.9,13.5
24120,2014 Apr 21,1.0,13.4,19.2,8.4,-,11.4
24976,2014 Apr 21,1.0,15.7,21.2,10.5,8.3,11.7
3445,2014 Apr 21,0.0,16.1,19.3,12.9,-,12.8
4271,2014 Apr 21,0.2,13.5,18.9,8.0,4.5,11.8
5451,2014 Apr 21,0.0,12.9,16.4,9.4,3.6,8.7
11104,2014 Apr 22,0.2,7.7,12.9,2.5,-0.4,8.5
18183,2014 Apr 22,1.0,16.0,20.4,12.4,10.4,14.3
1962,2014 Apr 22,0.2,16.9,20.0,13.8,12.1,14.3
2283,2014 Apr 22,0.0,13.0,18.7,7.3,3.9,12.4
24120,2014 Apr 22,11.0,10.3,12.4,8.6,-,11.5
24976,2014 Apr 22,1.0,13.8,20.0,8.8,7.4,12.0
3445,2014 Apr 22,0.8,14.1,16.5,11.7,-,13.3
4271,2014 Apr 22,0.0,12.6,17.9,7.3,3.2,11.4
5451,2014 Apr 22,0.0,7.8,12.9,2.6,-1.6,7.9
11104,2014 Apr 23,0.2,10.5,18.5,2.5,0.9,10.5
18183,2014 Apr 23,0.2,14.3,19.6,8.7,7.6,12.7
1962,2014 Apr 23,0.0,15.2,19.5,10.9,8.2,12.8
2283,2014 Apr 23,0.0,11.7,17.9,5.4,3.6,10.8
24120,2014 Apr 23,0.0,12.3,17.3,8.4,-,11.7
24976,2014 Apr 23,0.9,13.6,19.9,9.4,8.0,12.4
3445,2014 Apr 23,0.0,13.1,16.9,9.2,-,12.2
4271,2014 Apr 23,0.0,12.3,18.3,6.2,2.9,11.3
5451,2014 Apr 23,0.0,9.5,16.5,2.4,0.2,8.7
11104,2014 Apr 24,0.6,10.2,14.9,5.5,2.9,11.5
18183,2014 Apr 24,0.0,14.0,20.4,7.5,6.7,14.4
1962,2014 Apr 24,0.0,15.6,21.8,9.4,6.9,15.6
2283,2014 Apr 24,23.2,13.6,19.4,7.7,6.9,16.8
24120,2014 Apr 24,0.0,12.7,17.1,9.6,-,12.4
24976,2014 Apr 24,0.9,14.8,22.0,7.5,5.0,12.2
3445,2014 Apr 24,0.0,16.1,17.7,14.4,-,15.8
4271,2014 Apr 24,0.0,14.1,18.2,9.9,6.6,13.5
5451,2014 Apr 24,0.0,9.2,16.4,1.9,-1.0,8.3
11104,2014 Apr 25,22.2,9.3,12.3,6.2,4.8,10.4
18183,2014 Apr 25,0.0,15.7,20.7,10.8,9.9,15.7
1962,2014 Apr 25,0.0,17.6,21.7,13.4,10.7,16.5
2283,2014 Apr 25,20.4,17.2,20.4,13.9,10.4,17.8
24120,2014 Apr 25,0.0,14.3,23.6,6.9,-,11.3
24976,2014 Apr 25,0.8,17.5,23.1,13.0,11.5,13.6
3445,2014 Apr 25,0.0,16.7,19.0,14.3,-,15.8
4271,2014 Apr 25,1.2,15.6,19.8,11.3,7.9,14.3
5451,2014 Apr 25,12.6,10.9,15.3,6.5,1.3,9.1
11104,2014 Apr 26,1.8,9.6,15.1,4.0,-1.2,10.4
18183,2014 Apr 26,1.4,15.6,18.8,11.8,10.0,16.7
1962,2014 Apr 26,6.2,16.2,19.1,13.3,9.2,13.6
2283,2014 Apr 26,0.0,11.1,17.3,4.9,3.3,10.6
24120,2014 Apr 26,0.0,9.9,18.4,3.2,-,8.4
24976,2014 Apr 26,0.7,16.0,21.0,11.3,8.6,13.6
3445,2014 Apr 26,0.0,13.6,17.0,10.1,-,11.3
4271,2014 Apr 26,0.0,12.0,18.1,5.9,1.7,9.5
5451,2014 Apr 26,0.0,9.3,14.9,3.7,0.2,7.5
11104,2014 Apr 27,15.4,7.0,10.8,3.2,-1.3,9.4
18183,2014 Apr 27,0.0,16.8,21.0,14.1,13.3,17.1
1962,2014 Apr 27,0.0,14.0,19.6,8.3,5.3,13.5
2283,2014 Apr 27,21.8,11.2,17.3,5.0,4.0,13.0
24120,2014 Apr 27,1.1,9.6,16.3,2.4,-,9.4
24976,2014 Apr 27,0.6,14.2,20.8,8.7,8.0,11.4
3445,2014 Apr 27,4.3,13.1,16.5,9.6,-,11.7
4271,2014 Apr 27,18.4,10.5,16.0,4.9,1.1,11.5
5451,2014 Apr 27,4.0,8.0,13.6,2.3,-0.1,7.5
11104,2014 Apr 28,8.4,10.1,11.7,8.5,7.8,10.7
18183,2014 Apr 28,11.6,15.4,18.3,13.0,11.4,13.5
1962,2014 Apr 28,8.4,14.9,18.2,11.5,9.2,12.2
2283,2014 Apr 28,21.8,12.2,15.2,9.1,8.3,12.0
24120,2014 Apr 28,14.8,9.1,13.0,6.6,-,10.1
24976,2014 Apr 28,0.6,16.0,20.1,10.2,6.2,10.5
3445,2014 Apr 28,17.5,12.9,15.4,10.4,-,11.0
4271,2014 Apr 28,1.4,11.5,14.5,8.4,4.5,11.2
5451,2014 Apr 28,16.6,6.9,10.1,3.7,3.4,8.1
11104,2014 Apr 29,1.2,7.6,12.6,2.5,-1.1,10.2
18183,2014 Apr 29,0.0,15.3,18.5,12.6,11.4,13.4
1962,2014 Apr 29,5.8,14.3,18.3,10.2,7.2,13.2
2283,2014 Apr 29,8.0,12.7,17.2,8.1,3.8,11.3
24120,2014 Apr 29,70.0,8.9,10.3,7.7,-,10.7
24976,2014 Apr 29,0.5,13.2,17.9,6.6,3.5,9.3
3445,2014 Apr 29,11.6,12.1,13.6,10.5,-,11.7
4271,2014 Apr 29,0.0,12.1,17.6,6.6,1.4,9.9
5451,2014 Apr 29,0.0,7.5,13.2,1.7,-2.2,7.5
11104,2014 Apr 30,0.2,7.2,14.1,0.3,-3.5,8.2
18183,2014 Apr 30,1.4,14.4,19.7,10.2,9.0,14.2
1962,2014 Apr 30,0.0,13.3,17.4,9.2,6.1,12.5
2283,2014 Apr 30,0.0,12.2,16.8,7.6,2.6,11.0
24120,2014 Apr 30,0.0,8.5,12.8,4.1,-,9.3
24976,2014 Apr 30,0.4,11.1,18.7,6.1,3.9,10.1
3445,2014 Apr 30,0.0,12.7,14.2,11.1,-,10.5
4271,2014 Apr 30,0.0,10.7,16.2,5.1,0.5,10.0
5451,2014 Apr 30,0.0,4.7,11.6,-2.2,-5.3,6.0
11104,2014 May 01,0.0,6.3,13.2,-0.6,-5.3,7.8
18183,2014 May 01,0.0,13.5,19.9,8.0,7.3,13.1
1962,2014 May 01,0.0,12.9,18.6,7.1,4.4,13.0
2283,2014 May 01,1.4,11.6,17.2,6.0,4.0,11.3
24120,2014 May 01,0.0,8.5,13.5,2.0,-,9.6
24976,2014 May 01,0.4,11.2,18.2,5.8,4.6,9.9
3445,2014 May 01,0.0,12.0,14.6,9.3,-,11.9
4271,2014 May 01,0.2,10.3,15.5,5.1,-0.6,10.6
5451,2014 May 01,0.0,4.6,11.9,-2.8,-5.2,6.5
11104,2014 May 02,0.2,8.0,14.0,2.0,-1.1,9.4
18183,2014 May 02,0.0,13.7,19.8,9.8,8.5,13.0
1962,2014 May 02,0.0,12.8,17.8,7.8,5.3,13.0
2283,2014 May 02,0.0,11.7,17.0,6.4,3.6,11.5
24120,2014 May 02,0.0,11.5,14.9,7.1,-,11.6
24976,2014 May 02,0.3,12.8,19.1,7.8,4.7,11.3
3445,2014 May 02,0.1,11.9,16.4,7.4,-,11.7
4271,2014 May 02,0.0,10.5,15.3,5.7,0.0,11.1
5451,2014 May 02,0.0,7.3,13.8,0.7,-1.0,7.8
11104,2014 May 03,0.0,9.4,15.7,3.1,-0.8,11.6
18183,2014 May 03,0.0,14.1,20.3,8.1,7.3,13.3
1962,2014 May 03,0.0,14.7,20.6,8.7,6.3,13.7
2283,2014 May 03,2.2,12.7,17.5,7.8,6.5,15.6
24120,2014 May 03,0.0,10.9,20.3,4.6,-,11.0
24976,2014 May 03,0.3,12.1,21.2,5.3,2.9,10.2
3445,2014 May 03,0.1,15.7,17.4,13.9,-,15.4
4271,2014 May 03,0.0,12.5,16.9,8.0,2.5,12.6
5451,2014 May 03,0.0,10.3,17.3,3.2,1.0,9.2
11104,2014 May 04,3.6,11.9,14.4,9.4,6.3,12.2
18183,2014 May 04,0.0,17.5,21.3,14.6,12.8,16.3
1962,2014 May 04,0.0,15.4,20.9,9.9,7.0,14.6
2283,2014 May 04,0.2,15.3,18.6,11.9,10.4,16.4
24120,2014 May 04,0.1,11.0,14.0,8.6,-,12.1
24976,2014 May 04,0.3,13.3,22.4,7.9,6.3,11.7
3445,2014 May 04,0.1,15.4,17.0,13.7,-,16.0
4271,2014 May 04,0.0,12.9,16.5,9.3,4.8,13.0
5451,2014 May 04,0.0,8.7,15.5,1.8,-0.7,9.1
11104,2014 May 05,5.2,12.8,16.5,9.0,5.6,13.2
18183,2014 May 05,10.4,17.5,19.3,14.8,13.0,19.2
1962,2014 May 05,3.2,17.2,19.3,15.0,12.1,18.4
2283,2014 May 05,9.6,16.6,17.7,15.4,14.2,17.2
24120,2014 May 05,0.2,16.0,21.8,11.7,-,11.8
24976,2014 May 05,0.3,14.6,19.8,8.5,6.0,12.9
3445,2014 May 05,8.9,16.0,18.3,13.7,-,14.9
4271,2014 May 05,22.0,15.1,17.0,13.1,11.4,16.3
5451,2014 May 05,30.2,13.3,16.2,10.4,8.5,12.1
11104,2014 May 06,0.8,10.5,15.6,5.3,-1.0,10.6
18183,2014 May 06,0.0,17.0,21.4,13.0,11.5,17.8
1962,2014 May 06,0.2,17.5,21.0,13.9,11.7,17.3
2283,2014 May 06,8.8,16.5,19.4,13.6,9.8,17.0
24120,2014 May 06,0.0,17.6,23.3,10.0,-,8.5
24976,2014 May 06,0.2,18.7,23.9,11.4,8.3,13.2
3445,2014 May 06,0.1,16.7,18.6,14.8,-,14.8
4271,2014 May 06,0.2,14.8,19.9,9.6,5.1,13.7
5451,2014 May 06,4.4,11.9,16.6,7.2,5.2,9.7
11104,2014 May 07,2.6,7.2,10.9,3.4,-1.2,10.2
18183,2014 May 07,0.0,16.4,20.9,14.0,13.1,17.5
1962,2014 May 07,7.8,17.4,21.0,13.7,11.8,16.7
2283,2014 May 07,1.2,16.6,19.2,14.0,11.7,16.5
24120,2014 May 07,0.0,12.7,20.2,6.6,-,9.7
24976,2014 May 07,0.2,15.7,22.0,8.5,6.2,12.5
3445,2014 May 07,3.2,16.5,18.8,14.2,-,14.0
4271,2014 May 07,0.6,13.3,17.9,8.6,3.8,12.9
5451,2014 May 07,15.0,5.1,7.5,2.7,0.1,8.5
11104,2014 May 08,2.6,8.4,12.0,4.7,0.0,10.1
18183,2014 May 08,2.2,16.7,20.1,14.4,11.9,17.0
1962,2014 May 08,15.8,16.8,20.1,13.5,11.9,16.3
2283,2014 May 08,13.2,14.0,19.1,8.9,7.0,13.6
24120,2014 May 08,1.8,9.5,14.2,5.6,-,10.8
24976,2014 May 08,0.2,16.4,21.7,13.3,11.3,13.1
3445,2014 May 08,4.1,14.9,17.9,11.9,-,12.5
4271,2014 May 08,2.2,10.8,15.2,6.4,1.8,12.0
5451,2014 May 08,0.2,5.1,8.7,1.4,-0.3,8.5
11104,2014 May 09,3.6,8.6,10.9,6.2,4.3,9.4
18183,2014 May 09,4.0,15.1,19.4,12.4,10.4,14.6
1962,2014 May 09,1.0,15.4,19.1,11.7,9.4,14.3
2283,2014 May 09,0.2,11.7,16.5,6.9,5.1,12.2
24120,2014 May 09,0.8,8.5,12.8,3.9,-,9.3
24976,2014 May 09,0.2,13.2,20.0,8.3,6.0,11.7
3445,2014 May 09,6.3,11.5,13.9,9.1,-,11.6
4271,2014 May 09,0.2,12.0,16.0,7.9,2.7,11.4
5451,2014 May 09,0.6,6.5,10.2,2.8,-0.1,8.5
11104,2014 May 10,0.0,9.1,11.3,6.9,4.7,9.1
18183,2014 May 10,5.8,12.6,16.3,9.2,7.8,13.1
1962,2014 May 10,0.0,14.1,18.1,10.1,6.5,13.1
2283,2014 May 10,0.0,11.2,17.4,4.9,3.1,11.2
24120,2014 May 10,0.0,8.3,14.3,3.2,-,8.9
24976,2014 May 10,0.2,11.9,18.0,7.6,6.4,11.0
3445,2014 May 10,0.4,11.6,14.2,8.9,-,11.0
4271,2014 May 10,0.2,10.2,16.0,4.3,-0.3,10.5
5451,2014 May 10,0.0,5.9,10.5,1.3,-1.2,7.1
11104,2014 May 11,0.0,8.7,15.0,2.3,-0.9,9.5
18183,2014 May 11,0.2,13.4,18.3,9.3,8.0,12.9
1962,2014 May 11,0.0,12.8,18.1,7.4,5.0,12.5
2283,2014 May 11,0.0,11.4,16.2,6.6,4.1,10.9
24120,2014 May 11,0.0,8.7,14.6,3.3,-,9.9
24976,2014 May 11,0.2,11.7,18.0,7.3,4.2,11.2
3445,2014 May 11,0.0,11.1,15.1,7.1,-,11.0
4271,2014 May 11,0.0,9.9,15.5,4.2,-0.4,10.6
